Dataset,SW,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
2.0,,3.0,2.0,0.33140000000000003,0.33148302538919117,0.33646877665871217,0.22098868359279414,0.2657321663227214,0.005355078424818503,0.506482410831144,0.0,8.522987365722001e-05
3.0,,3.0,2.0,0.2458,0.24672649859061374,0.2513598048020224,0.18504487394296024,0.2118149318323606,0.0006873789316306125,,0.0,0.000566892623901356
4.0,,3.0,2.0,0.19959999999999997,0.19926887018891062,0.19955623348035834,0.1594150961511285,0.1761695761033498,0.0011638652505463198,,0.0,0.00036020278930663595
5.0,,3.0,2.0,0.17679999999999998,0.17696383601449261,0.17445694871681108,0.1474698633454105,0.15818806316906106,0.01114502182365063,,0.0,0.00019741058349609202
6.0,,3.0,2.0,0.14520000000000002,0.14677302214245258,0.14474820093842886,0.12580544755067366,0.1327471347034505,0.0024057886104913275,,0.0,0.000247325897216788
7.0,,3.0,2.0,0.122,0.12149576510086076,0.12151524326739947,0.10630879446325314,0.11145936340552348,-0.0035706591366751837,,0.0,0.00016396522521971603
8.0,,3.0,2.0,0.12240000000000001,0.12342674170378239,0.12291279170658606,0.109712659292251,0.11374353639204703,0.014039690905278995,,0.0,0.00036490440368651996
9.0,,3.0,2.0,0.0966,0.09589111524580746,0.09546831661317506,0.0863020037212267,0.08892305673462339,-0.0036113636925271396,,0.0,7.971763610839601e-05
10.0,,3.0,2.0,0.09259999999999997,0.09393387481501617,0.09365375110379429,0.08539443165001467,0.08742371390049133,0.0023709550370146684,,0.0,0.00017108917236327602
11.0,,3.0,2.0,0.08660000000000002,0.08649491583912829,0.08617991830089013,0.07928700618586758,0.08056510550673235,0.003121348369275828,,0.0,0.00013179779052734
12.0,,3.0,2.0,0.0742,0.07452733965684001,0.07482278509175487,0.0687944673755446,0.0699667649516803,-0.0030456187072985495,,0.0,0.000215349197387684
13.0,,3.0,2.0,0.07120000000000001,0.07205998223163797,0.0700970222932958,0.06691284064366383,0.06624315104114156,0.00024342574035482039,,0.0,4.2562484741209314e-05
14.0,,3.0,2.0,0.0642,0.06349195463124943,0.06391625523885582,0.05925915765583281,0.059754906897871364,-0.0032605423558011077,,0.0,0.0
15.0,,3.0,2.0,0.06200000000000001,0.06057762794481056,0.06294651883419294,0.056791526198259897,0.058074487504218425,-0.000598964954053984,,0.0,0.000364189147949216
16.0,,3.0,2.0,0.057,0.05490592870536751,0.05872531128395266,0.05167616819328707,0.05310215883825682,-0.0014764521278010528,,0.0,0.000118474960327144
17.0,,3.0,2.0,0.05140000000000001,0.052908365223881475,0.05194770053361379,0.04996901160033249,0.04863793260653189,-0.0036382037383593004,,0.0,0.000478096008300772
18.0,,3.0,2.0,0.0508,0.05170228708721997,0.049415709026186395,0.04898111408262944,0.04763917359279182,-0.002111133177664684,,0.0,0.000365648269653308
19.0,,3.0,2.0,0.047400000000000005,0.04849072560340277,0.046556397395174434,0.04606618932323262,0.04433884532376568,-0.0026018378498597517,,0.0,7.868766784667599e-05
20.0,,3.0,2.0,0.0462,0.04476269286269281,0.04753954984030167,0.04263113605970745,0.04250957380625403,-0.0014538565521952562,,0.0,0.00036111831665038
21.0,,3.0,2.0,0.04239999999999999,0.0431682788111359,0.04281547611627821,0.04120608431972064,0.039691810196507415,-0.0030857013633961445,,0.0,0.000396795272827144
22.0,,3.0,2.0,0.041199999999999994,0.040912550016828045,0.04526618138894348,0.039133743494357255,0.03877678706301263,-0.002057662989859132,,0.0,0.00023455619812011203
23.0,,3.0,2.0,0.04100000000000001,0.0396972882190273,0.04215490568799386,0.038043234543234494,0.038035790160990214,-0.0007723445165876202,,0.0,6.489753723144001e-05
24.0,,3.0,2.0,0.0368,0.03734940753690749,0.034935158175158125,0.03585543123543118,0.03365013262431916,-0.0034051844410273686,,0.0,0.000131359100341788
25.0,,3.0,2.0,0.035,0.03582168054168049,0.034987969923490236,0.0344439235977697,0.03277811171195202,-0.003273487084787121,,0.0,0.00023503303527831596
26.0,,3.0,2.0,0.034600000000000006,0.03489974128435663,0.03356244022257089,0.0336071582738249,0.031822921109375055,-0.0023933291358784596,,0.0,0.000312223434448236
27.0,,3.0,2.0,0.0334,0.03245112295112291,0.03479296695368119,0.03129215427429708,0.030501674260141023,-0.002607633722451411,,0.0,0.00036479949951171597
28.0,,3.0,2.0,0.03540000000000001,0.03559974945689228,0.03530704927256647,0.03437217188941321,0.03237632079926811,0.0009857037228319081,,0.0,9.550094604491198e-05
29.0,,3.0,2.0,0.032600000000000004,0.031455085428265465,0.032326388426388374,0.030339442039441993,0.029552673332360984,-0.0008221953022234201,,0.0,7.7276229858388e-05
30.0,,3.0,2.0,0.038400000000000004,0.03786002886002881,0.03791876940264032,0.03663873760647948,0.03504402154269235,0.006222267254915345,,0.0,0.000432252883911116
31.0,,3.0,2.0,0.031200000000000002,0.03118474178151592,0.030993416305916274,0.03011671661671657,0.02859355824829807,-0.0001323104270787638,,0.0,0.000225610733032224
32.0,,3.0,2.0,0.031400000000000004,0.031084807665452782,0.030494249857886166,0.03013198249561883,0.028642101897978698,0.0011115084078303563,,0.0,0.000579214096069328
33.0,,3.0,2.0,0.023600000000000003,0.025095130143425542,0.02184834120128232,0.024221458280281768,0.021429939038480245,-0.006070640218110244,,0.0,0.0
34.0,,3.0,2.0,0.0264,0.02572321142909374,0.025306572792287034,0.024946044431758675,0.02367856068252348,-0.002349486210797732,,0.0,5.1212310791012e-05
35.0,,3.0,2.0,0.031,0.0316740720530636,0.03236271444604774,0.030731561648228274,0.029045335650856773,0.00321097655782552,,0.0,0.000699510574340808
36.0,,3.0,2.0,0.0268,0.02838374650041313,0.028759603759603708,0.027576978576978536,0.0251308810287138,-0.0005534128144174001,,0.0,0.00041104316711424794
37.0,,3.0,2.0,0.024600000000000004,0.02411133211133206,0.024811308574466423,0.023417786891471053,0.022344414524877246,-0.0020462612540593198,,0.0,0.000100841522216792
38.0,,3.0,2.0,0.025800000000000003,0.026049135943872734,0.024718071102686437,0.025339068339068283,0.023260843634503977,0.00015846177278198834,,1.0480880737304e-05,0.00048619270324705996
39.0,,3.0,2.0,0.023400000000000004,0.023457409062672175,0.026029365079365027,0.022794083694083634,0.02150612410465347,-0.001284557810717324,,0.0,0.00020052909851073602
40.0,,3.0,2.0,0.0242,0.025596632071632017,0.02382346109175374,0.02493883081687955,0.022043364532302046,-0.0001520914339565721,,0.0,0.000686655044555656
41.0,,3.0,2.0,0.025,0.025994957413859807,0.02576688655260078,0.02534051398337108,0.02298536275427027,0.0012121628766596328,,0.0,0.000141868591308584
42.0,,3.0,2.0,0.025000000000000005,0.024183728776063215,0.024072754119265696,0.0235932078257659,0.022148766573532274,0.0016210771116852195,,0.0,0.000267744064331044
43.0,,3.0,2.0,0.025,0.02389441639939974,0.025889610389610334,0.023271317066771567,0.021767737016400064,0.0023547049140461842,,0.0,0.0005397033691406039
44.0,,3.0,2.0,0.0204,0.02051213127957309,0.017331248997915626,0.019847619047619,0.017342436793417147,-0.0019204340425901956,,0.0,0.0
45.0,,3.0,2.0,0.019200000000000002,0.018454096520763134,0.02197622184578701,0.017989302967563802,0.017679026108424367,-0.002494023102048132,,0.0,0.0
46.0,,3.0,2.0,0.017400000000000002,0.01660350921220482,0.018407325534985062,0.016074974670719295,0.01563252350486388,-0.0037597794631501836,,0.0,0.0005970668792724521
47.0,,3.0,2.0,0.021,0.02252886803811868,0.021895562770562715,0.021896825396825356,0.019432361619861553,0.00024749827321156396,,7.6084136962888e-05,0.00017552375793456618
48.0,,3.0,2.0,0.0194,0.018595750493125555,0.017696174573725548,0.018031057661159654,0.016558907079315188,-0.0011865330557607164,,0.0,0.000416240692138652
49.0,,3.0,2.0,0.019600000000000003,0.018794144025391275,0.018243174603174556,0.018237071590540936,0.016603585322240738,-0.0004915811899413134,,0.0,0.00021677970886229198
50.0,,3.0,2.0,0.0216,0.022069171525753117,0.02118020541549949,0.021511671335200707,0.01889374597424128,0.00221829564723822,,0.0,0.0005667972564697241
51.0,,3.0,2.0,0.0188,0.019204056956115736,0.016603785103785053,0.01863827838827834,0.015448316640624283,-0.0002357697718713879,,0.0,0.0001998233795166
52.0,,3.0,2.0,0.019600000000000003,0.018526856999209897,0.01881967770175312,0.017883480774990163,0.016801348822202796,0.0008158717935387003,,0.0,5.550384521484e-06
53.0,,3.0,2.0,0.0166,0.014807448513996749,0.016026149989462307,0.01438161237008193,0.013791967951297033,-0.0020044212011723476,,0.0,7.8878402709956e-05
54.0,,3.0,2.0,0.019799999999999998,0.018723878230537446,0.020869867506231096,0.01809177489177484,0.017574310537946856,0.0016261555202040443,,0.0,0.000390024185180656
55.0,,3.0,2.0,0.0204,0.019694874726950154,0.019698907441764536,0.01892108843537409,0.017563623317519365,0.0022569914698459,,0.0,0.000403518676757808
56.0,,3.0,2.0,0.0158,0.015847458458754668,0.01449705613239443,0.01540047087415505,0.013416350791737738,-0.00170559697483116,,0.0,0.000221452713012688
57.0,,3.0,2.0,0.0164,0.017206936416112616,0.015456990176590864,0.016559343761703062,0.014180409024329137,-0.0009763786367123561,,0.0,0.0
58.0,,3.0,2.0,0.017,0.017710253048404415,0.016124794745484353,0.017148052285398816,0.014844942576093914,0.00011758891919337184,,0.0,0.000182142257690428
59.0,,3.0,2.0,0.017,0.01769038988958853,0.018795224643529687,0.017042493946731182,0.015453003807241034,0.0006929334520269847,,0.0,0.00037539482116698795
60.0,,3.0,2.0,0.016,0.014467668587013956,0.015221350507416052,0.013998204527712688,0.012685851853064922,-0.00037408403562404826,,0.0,0.0
61.0,,3.0,2.0,0.012600000000000002,0.012635485944855737,0.011732190073279407,0.012125494195562907,0.010839078836434693,-0.0035598238573993886,,0.0,0.000428829193115228
62.0,,3.0,2.0,0.017200000000000003,0.016854399557845734,0.01637052774840788,0.016237997708043732,0.014543612102751825,0.0013060336087696162,,0.0,0.000198049545288084
63.0,,3.0,2.0,0.017200000000000003,0.01708749956257843,0.017949735449735413,0.01635582010582006,0.014893170211622555,0.001740265695737418,,0.0,0.001248502731323236
64.0,,3.0,2.0,0.0158,0.015770222291113974,0.014632360347985292,0.014924565018314977,0.012997023809523755,0.00030495569152331613,,0.0,0.0
